letter of the alphabet	ï»¿aabaa
class conciliation	araara gitaa
irreconcilable	araara-dhabeessa
peaceful	araara-qabeessa
reconciliation	araarfata
arbitrator	araarsaa
peace-making	araarsii
to conciliate	araarsuu
usury	araaxaa
Arab	Araba
the Arab	Arabticha
the Arab	Arabtittii
inheritable land	araddaa
fairyland	araddaa abjootee
lawn	araddaa qe'ee
communal land	araddaa walee
assembly ground	araddaa yaa'ii
meadow	araddee
grassland	araddoo
temperate grassland	araddoo baddadaree
general term for liquor	araqee
cognac	araqee diimaa
European liquor such as cognac	araqee Faranjii
a vodka like alcoholic drink	araqee Oromoo
elephant	arba
Central Orion	Arbagaduu
exaggeration	arbeessa
one who exaggerates	arbeessaa
to exaggerate	arbeessuu
loom	arbii
ivory ring	arbora
a fast runner	arda
area	ardaa
place of celebration	ardaa jilaa
an area without village	ardaa onaa
continent	ardii
sub-continent	ardii birkee
velocity	ardoo
final velocity	ardoo dhumaa
initial velocity	ardoo duraa
uniform velocity	ardoo gostokkee
escape velocity	ardoo jalbayiisaa
orbital velocity	ardoo marsoo
velocity of circulation	ardoo naanna'aa
relative velocity	ardoo sadhaatawaa
uniform velocity	ardoo walfakkaataa
chin	areeda
razor	areedadduu
electric shaver	areedadduu eletrikaa
buttermilk	areera
dilution	areerrii
plasma	areerroo
seminal plasma	areerroo ameentaa
blood plasma	areerroo dhiigaa
antidote	areertii
grain which is sawn in autumn and ripes in June	arfaasee
a kind of tulip that sprouts in afraasaa	arfaasoo
sightless	arga-maleessa
sight	argaa
colour vision	argaa bifaa
myope	argaa dhiyoo
a present for a new married couple	argaa gaayilaa
pupil of the eye	argaa ijaa
anecdote	argaa-dhageettii
to find	argachuu
binocular vision	argalamee
visible	argamaa
phenomenon	argamaata
phenomenalist	argamaatessaa
to phenomenalise	argamaatessuu
phenomalism	argamaatummaa
invisible	argamdhabeessa
occurrence	argamsa
result	argamtaa
animal products	argamtaa beeladaa
bland determination	argamtaa duwwaa
concretisation	argamteessa
concrete	argamtii
to be visible	argamuu
finding	argannaa
discovery	argannoo
discovery of America	argannoo Ameerikaa
scientific discovery	argannoo saayinsaawaa
discovery of documents	argannoo sanadii
finder	argattuu
seeing	argina
farsightedness	argina fagoo
visionless	argo-maleessa
visionary	argo-qabeessa
vision	argoo
to see	arguu
urgency	ariifachiisa
urgent	ariifachiisaa
to hasten	ariifachuu
one who is in a hurry	ariifataa
copulation	ariisa
hurry	aritii
generous	arjaa
rough	arjajjaawaa
to be rough	arjajjaawuu
charity	arjooma
charitable	arjoomaa
to be generous	arjoomuu
kindness	arjummaa
same as barmowaadurii	arkiyolojii
lick	arraabbii
index finger	arraabichoo
vacuum cleaner	arraabkosii
crow	arraangessa
millipede	arraangessa roobaa
communique'	arraata
tongue	arraba
rough tongue	arraba arjajjaawaa
gulf	arraba bishaanii
flame	arraba ibiddaa
trigger	arraba qawwee
uvula	arraba xinnaa
an aggressive person who attacks people with words	arrabdoteessa
slanderer	arrabsituu
abuse	arrabsoo
bright red	arrawa
toilet paper	arriyoo
asbestos	asbeestoo
aspirin	asbiriina
attorney general	aseeba
god	aseelloo
entry	aseentoo
asphaltic	asfaalteffamaa
to asphalt	asfaaltessuu
asphalt	asfaaltii
fingerprint	ashaaraa
lines of palm	ashaaraa barruu
fingerprint	ashaaraa qubaa
salt	ashaboo
table salt	ashaboo nyaataa
one who formulates	ashakaa
formulation	ashakkii
to formulate	ashakuu
to entertain	ashanansiisuu
ripe	asheeta
ripe honey	asheeta dammaa
to be ripe	asheetuu
bride	ashilee
soya bean	ashongoree
bridegroom	ashoo
tall savannah grass	ashuffee
same as katoo	ashuura
same as dhangaggee	asiida
miscellaneous	asiifachii
class work	asittee
Asia	Asiyaa
Central Asia	Asiyaa Waltajjii
Asia Minor	Asiyaa Xinnoo
same as nubee	asmaarii
same as ukkaa	asmii
novel	asoodhee
short story	asooga
writer of a fiction	asoosa
fiction	asoosama
novelette	asoosammee
creative work	asoosammii
to write a fiction	asoosuu
criminal novel	assodhee yakkii
same as barmurjii	astironomii
sign	asxaa
sign of multiplication	asxaa baay'isoo
bookmark	asxaa barroo
sign of addition	asxaa dabaltoo
symptom	asxaa dhukkubaa
traffic sign	asxaa godaantii
positive sign	asxaa guuttoo
sign of subtraction	asxaa hir'isoo
sign of division	asxaa hirtoo
negative sign	asxaa homtoo
to mark	asxeessuu
stubborn	atakamaa
dregs	atalaa
goddess of fertility which is worshipped by Oromo women	ateetee
athletics	atileetiksii
same as qilmarsaa	atmoosfera
same as oofee	atomaatika
poly atomic	atoom-danee
diatomic	atoom-lamee
mono atomic	atoom-tokkee
harmony	atooma
federal	atoomaa
united	atoomamaa
atomic	atoomawaa
atom	atoomii
confederation	atoommannoo
alliance	atoommii
the league of Oromo	atoommii Oromoo
the Seven League of Oromoo	atoommii torban Oromoo
conciliator	atoomsaa
league	atoomsii
to reconcile	atoomsuu
unification	atoomummaa
output	atoota
big plain without bushes or trees	attaa
attache'	attaashee
cultural attache'	attaashee aadaa
press attache'	attaashee pireesaa
military attache'	attaashee waraanaa
heathen	awaama
heathenism	awaamummaa
locust	awaannisa
Awash	Awaash
Lower Awash	Awaash Gadaanuu
Upper Awash	Awaash Olaanuu
grave	awwaala
burial ground for Muslims	awwaala Islaamaa
traditional Oromo cemetery	awwaala kaabbaa
burial ground for Christians	awwaala Kiristaanaa
one who buries	awwaalaa
aardvark	awwaaldiigessa
to bury	awwaaluu
dustless	awwaar-maleessa
full of dust	awwaar-qabeessa
dust	awwaara
dusty area	awwaaree
to become dusty	awwaaromuu
a kind of grain disease on the head of wheat or millet	awwaaroo
musical band	awwisoo
very smart	axaarii
abstract	axeerara
abstracted	axeeraramaa
abstraction	axeerarummaa
to abstract	axeeraruu
heritage	ayaa
cultural heritage	ayaa aadaa
gene pool	ayaa sanyundee
ion	ayoona
spiritual culture	ayyaada
fortune	ayyaana
centenary	ayyaana bardhibbee
Independence Day	ayyaana bilisummaa
Epiphany	ayyaana cuubaa
good luck	ayyaana gaarii
evil spirit	ayyaana hamaa
celebration of a victory day	ayyaana injifannoo
coronation ceremony	ayyaana mooteffannoo
Ramadan ceremony	ayyaana ramadaanaa
national holiday	ayyaana sabaa
public festival	ayyaana uummataa
annual festival	ayyaana waggaa
unfortunate	ayyaana-dhabeessa
fortunate	ayyaana-qabeessa
to celebrate	ayyaaneffachuu
angel	ayyaanoo
belief	ayyaansa
horoscope	ayyaantii
graceful	ayyaantuu
going out	ba'a
sunrise	ba'a-aduu
sunrise	ba'a-biiftuu
load	ba'aa
timber	ba'oo
papaya	baabbayaa
one who is taking sides within a quarrel or fighting	baabsaa
neutral	baabsi-maleessa
taking sides within a quarrel or fighting	baabsii
to take sides within a quarrel or fighting	baabsuu
1) engine	baabura
train	baabura adeemmii
water mill	baabura bishaanii
windmill	baabura bubbee
mill	baabura daakuu
buffet car	baabura dhitaanaa
city-train	baabura diraa
trolley	baabura fannoo
steamboat	baabura hurkaa
passenger train	baabura imaltuu
to board	baabura koruu
underground	baabura lafjalaa
street-car	baabura magaalaa
goods train	baabura meeshaa
saw mill	baabura mukaa
airship	baabura qilleensaa
train	baabura sibiilaa
airplane	baaburbaallee
arrogance	baaca
arrogant	baacaa
to carry	baachuu
to be arrogant	baacuu
gleaning	baadanaa
gleaner	baadantuu
to glean	baadanuu
transporter	baadhattuu
buttermilk	baaduu
payable	baafamaa
budget	baafata
index	baafata
index of a book	baafata barroo
telephone directory	baafata bilbiltoo
index number	baafata lakkoofsaa
directory	baafata maqaa
a weekly budget	baafata torbanii
indexless	baafata-dhablee
pay	baaftii
payer	baaftuu
federal budget	baajata atoomaa
business budget	baajata bunaqaa
a family budget	baajata maatii
government budget	baajata mootummaa
annual budget	baajata waggaa
deficient	baakkii
packet	baakkii
deficiency	baakkina
anaemia	baakkina dhiigaa
box	baakkoo sijaaraa
bacteria	baakteriyaa
cocci	baakteriyaa boca-geengoo
spherical bacteria	baakteriyaa boca-marammee
rod-shaped bacteria	baakteriyaa boca-siiqqee
leaf	baala
coffee-leaf	baala bunaa
compound leaf	baala mirroo
castor leaf	baala qobboo
herbs	baala qorichaa
leaf of tobacco	baala tamboo
sheet of paper	baala waraqataa
ensete-leaf	baala warqee
leafless	baala-maleessa
leafy	baala-qabeessa
sandpaper	baalansoofii
sandpaper	baalansoofii
deciduous forest	baalarcaatuu
deciduous	baalarcaatuu
deciduous	baalarcaatuu
tea leaves	baalashaa
tea leaves	baalashaa
leafy	baalawaa
leafy	baalawaa
to become leafy	baalawuu
to become leafy	baalawuu
leaflet	baalbicuu
leaflet	baalbicuu
noble	baalchaa
noble	baalchaa
flint	baalcii
flint	baalcii
compound leaf	baaldanee
compound leaf	baaldanee
petal	baaldaraaraa
petal	baaldaraaraa
secret ballot	baaldhoksaa
secret ballot	baaldhoksaa
same as delaa	baaldii
same as delaa	baaldii
rain cloud	baaldoo
rain cloud	baaldoo
ballet	baaleta
ballet	baaleta
ostrich feather worn as ornament	baalguddaa
ostrich feather worn as ornament	baalguddaa
fork-like	baallaa
fork-like	baallaa
feather	baallee
feather	baallee
eye lash	baallee ijaa
eye lash	baallee ijaa
institution	baallii
institution	baallii
trifoliale	baalsadee
trifoliale	baalsadee
simple leaf	baaltokkee
simple leaf	baaltokkee
leafiness	baalummaa
leafiness	baalummaa
banjo	baanjoo
banjo	baanjoo
bank	baankii
bank	baankii
data bank	baankii agargoo
data bank	baankii agargoo
world bank	baankii biyyalafaa
world bank	baankii biyyalafaa
credit bank	baankii liqaa
credit bank	baankii liqaa
development bank	baankii misooma
development bank	baankii misooma
agricultural bank	baankii qonnaa
agricultural bank	baankii qonnaa
savings-bank	baankii qusii
savings-bank	baankii qusii
national bank	baankii sabaa
national bank	baankii sabaa
commercial bank	baankii seedannoo
commercial bank	baankii seedannoo
exchange bank	baankii sharafaa
exchange bank	baankii sharafaa
general bank	baankii waltajjii
general bank	baankii waltajjii
industrial bank	baankii warshaa
industrial bank	baankii warshaa
counter	baankonii
counter	baankonii
to appeal	baannachuu
to appeal	baannachuu
appeal	baannata
appeal	baannata
quotation	baannii
quotation	baannii
bathtub	baanyoo
bathtub	baanyoo
chaff	baaqaa
chaff	baaqaa
chaff of wheat	baaqaa qamadii
chaff of wheat	baaqaa qamadii
bad and good	baaqaa-callaa
bad and good	baaqaa-callaa
same as halquuqa	baaqilaa
same as halquuqa	baaqilaa
sheet	baaqqee
sheet	baaqqee
transparent	baaqqiyyee
transparent	baaqqiyyee
transparency	baaqqiyyummaa
transparency	baaqqiyyummaa
sea	baar
sea	baar
hysteria	baaraga
hysteria	baaraga
hysterical	baaragaa
hysterical	baaragaa
panicky	baaragsaa
panicky	baaragsaa
to be panicked	baaraguu
to be panicked	baaraguu
overseas	baargama
overseas	baargama
eucalyptus	baargamee
eucalyptus	baargamee
barman	baaristaa
barman	baaristaa
branch	baarkoo
branch	baarkoo
ring worm	baarrilee
ring worm	baarrilee
gun powder	baaruda
gun powder	baaruda
innovation	baasa
innovation	baasa
tweezers	baasaa
tweezers	baasaa
expenditure	baasii
expenditure	baasii
travelling expenses	baasii adeemsaa
travelling expenses	baasii adeemsaa
payment by check	baasii cheekii
payment by check	baasii cheekii
down payment	baasii duraa
down payment	baasii duraa
daily expenditure	baasii guyyaa
daily expenditure	baasii guyyaa
premium	baasii hirphaa
premium	baasii hirphaa
poll tax	baasii mata-mataanii
poll tax	baasii mata-mataanii
government expenditure	baasii mootummaa
government expenditure	baasii mootummaa
yearly expenditure	baasii waggaa
yearly expenditure	baasii waggaa
casus belli	baasii waraanaa
casus belli	baasii waraanaa
vaseline	baasiliina
vaseline	baasiliina
bicyclist	baaskiltuu
bicyclist	baaskiltuu
to take away	baasuu
to take away	baasuu
holder	baataa
holder	baataa
portable	baatamaa
portable	baatamaa
atlas	baatamataa
atlas	baatamataa
new moon	baatii
new moon	baatii
Quarter moon	baatii kurmaanee
Quarter moon	baatii kurmaanee
Vatican	Baatikaan
Vatican	Baatikaan
1) battery	baatirii
1) battery	baatirii
flashlight	baatirii harkaa
flashlight	baatirii harkaa
primary battery	baatirii jalqabbee
primary battery	baatirii jalqabbee
a very small flash-lamp	baatirii kiishaa
a very small flash-lamp	baatirii kiishaa
headlights	baatirii konkolaataa
headlights	baatirii konkolaataa
flashlight	baatirii meeshaa fakkoo
flashlight	baatirii meeshaa fakkoo
carrier	baatoo
carrier	baatoo
aircraft-carrier	baattoo balali'aa
aircraft-carrier	baattoo balali'aa
anther	baattubullaa
anther	baattubullaa
porter	baattuu
porter	baattuu
gall bladder	baattuu afuuffee
gall bladder	baattuu afuuffee
vector	baattuu dhukkubaa
vector	baattuu dhukkubaa
candlestick	baattuu dungoo
candlestick	baattuu dungoo
electric load	baattuu eletrikaa
electric load	baattuu eletrikaa
charge carrier	baattuu guuttii
charge carrier	baattuu guuttii
hay-rack	baattuu okaa
hay-rack	baattuu okaa
multiple	baay'ataa
multiple	baay'ataa
multiplicand	baay'ifamaa
multiplicand	baay'ifamaa
multiplier	baay'iftuu
multiplier	baay'iftuu
multiplicity	baay'ina
multiplicity	baay'ina
size of population	baay'ina uummataa
size of population	baay'ina uummataa
multiplication	baay'isoo
to multiply	baay'isuu
judge	baayiraa
violin	baayoliina
violinist	baayoliintuu
same as barmojiree	baayolojii
widespread	babaldhaa
extended	babaldhataa
scirpus corymboyus	babaldhii
epansion	babaldhina
free expansion	babaldhina bilisaa
expansion of gases	babaldhina gaasii
linear expansion	babaldhina galtokkee
semantic extension	babaldhina hiikkoo
thermal expansion	babaldhina holakee
decimal expansion	babaldhina kurniitee
surface expansion	babaldhina lafaa
volume expansion	babaldhina qabiyyaa
expansion ratio	babaldhina reeshoo
expansion of substances	babaldhina wannootaa
expansion of liquids	babaldhina yaatoo
to expand	babaldhisuu
transcrption	babarreeffama
transcript	babarreessa
to transcribe	babarreessuu
derivation	babbaafama
derivable	babbaafamaa
derivative	babbaafammee
to derive	babbaasuu
campaign	babdoo
maribou stock	baboolana
to be infected	bacawuu
infection	bacawwii
vermin	bacoo
switch	bacuftuu
hearth	badaa
fireplace	badaa ibiddaa
wilderness	badaasaa
phosphorus	badaatuu
anxiety	badadan=
maize	badallaa
highland	baddaa
temperate zone	baddadaree
dwellers of baddadaree	baddadaroolee
cold highland	baddadiilalloo
plateau	baddadirree
continental plateau	baddadirree ardii
lava plateau	baddadirree humbuluqaa
water berry	baddeessaa
blanket	baddoo
highlanders	baddoolee
to exhaust completely	badduu baasuu
rich	badhaadhaa
abundance	badhaadhina
social prosperity	badhaadhummaa
common advancement	badhaadhummaa wal-wajjinii
to prosper	badhaadhuu
table of contents	bafannoo
blank	bakka duwwaa
three dimensional space	bakka fuulsadee
place where money is exchanged	bakka geeddarsaa
jamming station	bakka goo'ii
bindery	bakka goolabbii
sleeping place	bakka hirribaa
workshop	bakka hojii
eye-spot	bakka ijaa
starting-point	bakka jalqabbii
place of residence	bakka jireenyaa
to book	bakka qabsiifachuu
booking	bakka qabsiifannoo
to codify	bakka qabsiisuu
abattoir	bakka qalmaa
sacred site	bakka quftoo
bedstead	bakka siree
box office	bakka tikeetaa
space memory	bakka yaadduu
representative of a country	bakka-bu'aa biyyaa
representative of the Ministry of Education	bakka-bu'aa Ministeerii Barumsaa
commercial agent	bakka-bu'aa seedannoo
replaceable	bakka-bu'amaa
representation	bakka-bu'iisa
to represent	bakka-bu'uu
to replace	bakka-buusuu
advertizing agency	bakka-buutuu dhaadhessii
to accomplish	bakkaan gawuu
accomplishment	bakkaan gayiinsa
metaphor	bakkabuusa
gold mine	bakkalbuda sabbuu
mine	bakkalbuuda
Venus	bakkalcha
morning star	bakkalcha barii
site	bakkallaa
planet	bakkallee
planetology	bakkallooma
substituent	bakkoommee
plane	bal'eensa
danger	balaa
plane crash	balaa balali'aa
famine	balaa beelaa
damage by water	balaa galaanaa
man-made calamity	balaa gocha namaa
industrial calamity	balaa hojii
drought	balaa hoongee
fire hazard	balaa ibiddaa
road accident	balaa konkolaataa
man-made disaster	balaa namnuumee
disaster cause by whirlwind	balaa obomboleettii
natural disaster	balaa uumamaa
danger of war	balaa waraanaa
objection	balaalessa
body hair	balaalii
propeller	balaambaleettii
1) a feudal baron	balabbaata
trademark	balaccee seedannoo
airplane	balali'aa
passenger plane	balali'aa imaltuu
bomber aircraft	balali'aa waraanaa
to board	balali'aa yaabbachuu
to airlift	balali'aan deemsisuu
bomber pilot	balaliisaa balali'aa waraanaa
pilot	balaliisaa
vomiting	balaqqama
reflection	balaqqeessa
reflection of light	balaqqeessa ifaa
reflection of sound	balaqqeessa sagalee
reflector	balaqqeessisaa
reflex	balaqqisa
door	balbala
wicket	balbalattii
cockroach	balballaa
board	balballee
hygiene	balbalooma
analysis	balbaloommii
to analyse	balbaloomsuu
region	baldhiinsa
breadth	baldhina
inclined plane	baldhina habalakaa
detail	baldhintaa
detailed	baldhintaatti
shallow depression	balee
rejection	balfa
discrimination	balfannoo
transition of power	balii
motor car	baliila
private car	baliillee
husk	balkii
one-eyed	ballaa
badge	ballaccee
algebraic sign	ballaccee aljeebiraa
a scout badge	ballaccee dooyyoo
sports-badge	ballaccee ispoortii
soldier's badge	ballaccee loltuu
a school badge	ballaccee manbarumsaa
a policeman's badge	ballaccee torobbee
ostrich feather	ballee guchii
ostrich feather	ballee guchii
contaminant	balleessituu
food contaminant	balleessituu soorataa
to damage	balleessuu
auto horn	baloo
caracal	baludaa
aircraft	baluunaa
pilot	baluunee
dross	balxii
pronoun	bamaqoo
possessive pronoun	bamaqoo abbummee
demonstrative pronoun	bamaqoo agarsiisinaa
personal pronoun	bamaqoo matayyee
reflexive pronoun	bamaqoo ofiifee
reciprocal pronoun	bamaqoo walee
poem	bamboo
bubo	bambulee
increase of weight	bammii
to increase weight	bammuu
open	banaa
charming person	banaajaa
opened	banamaa
double switch	bancuftuu garlamee
opening	baniisa
vacant	baniyyee
narcotic	banjee
